de	9999518
la	6277560
que 	4681839
el	4569652
en	4234281
y	4180279
a	3260939
los	2618657
se	2022514
del	1857225
las	1686741
un	1659827
por	1561904
con 	1481607
no	1465503
una 	1347603
su	1103617
para	1062152
es	1019669
al	951054
lo	866955
como 	773465
más 	661696
o	542284
pero	450512
sus 	449870
le	413241
ha	380339
me 	374368
si	327480
sin	298383
sobre	289704
este	285461
ya	274177
entre	267493
cuando 	257272
todo	247340
esta	238841
ser	232924
son 	232415
dos 	228439
también 	227411
fue	223791
había	223430
era	219933
muy 	208540
años 	203027
hasta	202935
desde 	198647
está	194168
mi	186360
porque 	185700
qué 	184956
sólo	170552
han 	169718
yo	167684
hay 	164940
vez	163538
puede 	161219
todos	158168
así	155645
nos 	154412
ni	153451
parte	148750
tiene	147274
él	139080
uno 	136020
donde 	132077
bien	130957
tiempo 	130896
mismo  	130746
ese 	127976
ahora	125661
cada 	124558
e	123729
vida	123491
otro	121983
después 	121746
te	120052
otros	119500
aunque 	115556
esa 	115377
eso 	114523
hace 	114507
otra	113982
gobierno	113011
tan	112471
durante	112020
siempre 	111557
día	110921
tanto	110679
ella	110620
tres	109542
sí	108631
dijo	108471
sido	107352
gran	106991
país	104568
según 	104204
menos  	103498
mundo  	101745
año 	100790
antes	100761
estado 	100757
contra	100403
sino	98145
forma	97165
caso 	96979
nada 	96340
hacer	96063
general	95768
estaba 	93607
poco 	92205
estos	91398
presidente	91350
mayor 	90166
ante	87990
unos 	86747
les	86363
algo	85999
hacia	85122
casa 	85064
ellos	84636
ayer	84310
hecho 	83898
primera	83428
mucho  	83240
mientras	82630
además  	82576
quien	82555
momento  	82132
millones	81999
esto	81979
españa 	80195
hombre 	80152
están	79844
pues 	79642
hoy 	78479
lugar	78250
madrid 	77837
nacional	77541
trabajo	77478
otras	77428
mejor	77315
nuevo 	77262
decir	76867
algunos 	76107
entonces 	75706
todas	75517
días	75144
debe 	74229
política	73464
cómo 	73100
casi	72965
toda	72248
tal	71419
luego	70522
pasado 	70484
primer	69918
medio 	69273
va	69098
estas	69071
sea 	68921
tenía	67093
nunca 	66939
poder	66900
aquí	66821
ver	66479
veces 	66441
embargo 	66116
partido	65492
personas 	65410
grupo	65390
cuenta 	65368
pueden 	63889
tienen	63652
misma  	63462
nueva 	63427
cual	62309
fueron	62220
mujer	61936
frente	61469
josé	61080
tras	60064
cosas 	59580
fin	59108
ciudad	59049
he	58965
social	58484
manera 	58134
tener	58029
sistema 	57810
será	57808
historia	57791
muchos  	57523
juan	57204
tipo	56606
cuatro	56570
dentro	56565
nuestro	56307
punto	56259
dice	56253
ello	55768
cualquier	55361
noche 	55281
aún 	54761
